glytoucan_ac,byonic,name_source,composition,mass
G00029MO,HexNAc(3)Hex(4) % 1275.45997652,G57776ZU,HexNAc(3)Hex(4),1275.45997652
G00030HB,HexNAc(5)Hex(8)dHex(1)NeuAc(1) % 2766.98334123,G58014BV,HexNAc(5)Hex(8)dHex(1)NeuAc(1),2766.98334123
G00030MO,HexNAc(4)Hex(3) % 1316.48652562,G35029YA,HexNAc(4)Hex(3),1316.48652562
G00030SF,Hex(3) % 504.1690352,G39365VM,Hex(3),504.1690352
G00031MO,HexNAc(1)Hex(1) % 383.142760805,G43417UB,HexNAc(1)Hex(1),383.142760805
G00032MO,HexNAc(1)Hex(1) % 383.142760805,G43417UB,HexNAc(1)Hex(1),383.142760805
G00033MO,HexNAc(2)Hex(1) % 586.22213341,G58001LT,HexNAc(2)Hex(1),586.22213341
G00033UB,HexNAc(2)Hex(2)Sulpho(3) % 988.14540068,G34805HG,HexNAc(2)Hex(2)Sulpho(3),988.14540068
G00034MO,HexNAc(2)Hex(1) % 586.22213341,G58001LT,HexNAc(2)Hex(1),586.22213341
G00034WH,Hex(6) % 990.3275057,G32030CB,Hex(6),990.3275057
G00035MO,HexNAc(2) % 424.16930991,G27391WQ,HexNAc(2),424.16930991
G00036MM,HexNAc(3)Hex(4) % 1275.45997652,G57776ZU,HexNAc(3)Hex(4),1275.45997652
G00036MO,HexNAc(2) % 424.16930991,G27391WQ,HexNAc(2),424.16930991
G00037MO,HexNAc(3) % 627.248682515,G40740AD,HexNAc(3),627.248682515
G00038JC,Hex(2)dHex(2) % 634.23202944,G39329TJ,Hex(2)dHex(2),634.23202944
G00038MO,HexNAc(3) % 627.248682515,G40740AD,HexNAc(3),627.248682515
G00039MO,HexNAc(2) % 424.16930991,G27391WQ,HexNAc(2),424.16930991
G00040MO,HexNAc(2) % 424.16930991,G27391WQ,HexNAc(2),424.16930991
G00041IL,HexNAc(2)Hex(1)NeuAc(1) % 877.317550045,G48586RX,HexNAc(2)Hex(1)NeuAc(1),877.317550045
G00041MO,HexNAc(2) % 424.16930991,G27391WQ,HexNAc(2),424.16930991
G00042MO,HexNAc(2) % 424.16930991,G27391WQ,HexNAc(2),424.16930991
G00043MO,HexNAc(2) % 424.16930991,G27391WQ,HexNAc(2),424.16930991
G00044MO,HexNAc(2) % 424.16930991,G27391WQ,HexNAc(2),424.16930991
G00045DM,HexNAc(1)Hex(4)dHex(1) % 1015.35914017,G25928EE,HexNAc(1)Hex(4)dHex(1),1015.35914017
G00046MO,Hex(2) % 342.1162117,G90627TW,Hex(2),342.1162117
G00047MO,HexNAc(1)Hex(1)dHex(1) % 529.200669675,G54129SE,HexNAc(1)Hex(1)dHex(1),529.200669675
G00048MO,HexNAc(1)Hex(1)dHex(2) % 675.258578545,G82458HY,HexNAc(1)Hex(1)dHex(2),675.258578545
G00049MO,HexNAc(1)Hex(3) % 707.248407805,G08590QR,HexNAc(1)Hex(3),707.248407805
G00050MO,HexNAc(1)Hex(3)dHex(1) % 853.306316675,G54630CD,HexNAc(1)Hex(3)dHex(1),853.306316675
G00051MO,HexNAc(1)Hex(1)dHex(1) % 529.200669675,G54129SE,HexNAc(1)Hex(1)dHex(1),529.200669675
G00051UX,HexNAc(1)Hex(1) % 383.142760805,G43417UB,HexNAc(1)Hex(1),383.142760805
G00052MO,HexNAc(1)Hex(1)dHex(2) % 675.258578545,G82458HY,HexNAc(1)Hex(1)dHex(2),675.258578545
G00053MO,HexNAc(1)Hex(1)dHex(1)NeuAc(1) % 820.29608631,G98896IU,HexNAc(1)Hex(1)dHex(1)NeuAc(1),820.29608631
G00054MO,HexNAc(1)Hex(1)dHex(1)NeuAc(1) % 820.29608631,G98896IU,HexNAc(1)Hex(1)dHex(1)NeuAc(1),820.29608631
G00055MO,HexNAc(1)Hex(1) % 383.142760805,G43417UB,HexNAc(1)Hex(1),383.142760805
G00056HH,HexNAc(5)Hex(6)dHex(1) % 2151.78227759,G44211QA,HexNAc(5)Hex(6)dHex(1),2151.78227759
G00056MO,HexNAc(1)Hex(1) % 383.142760805,G43417UB,HexNAc(1)Hex(1),383.142760805
G00056SP,HexNAc(1)Hex(4)NeuAc(1) % 1160.39664794,G11239ZB,HexNAc(1)Hex(4)NeuAc(1),1160.39664794
G00057LF,HexNAc(4)Hex(5)NeuAc(1) % 1931.68758926,G59626AS,HexNAc(4)Hex(5)NeuAc(1),1931.68758926
G00057MO,HexNAc(2) % 424.16930991,G27391WQ,HexNAc(2),424.16930991
G00058MO,HexNAc(2)Hex(2) % 748.27495691,G53434XO,HexNAc(2)Hex(2),748.27495691
G00058XR,HexNAc(1)Hex(2)Sulpho(1) % 625.152398895,G06932DR,HexNAc(1)Hex(2)Sulpho(1),625.152398895
G00059MO,Hex(3) % 504.1690352,G39365VM,Hex(3),504.1690352
G00060BT,HexNAc(1)Hex(4) % 869.301231305,G15666IG,HexNAc(1)Hex(4),869.301231305
G00060MO,HexNAc(1)Hex(4) % 869.301231305,G15666IG,HexNAc(1)Hex(4),869.301231305
G00061MO,HexNAc(1)Hex(3) % 707.248407805,G08590QR,HexNAc(1)Hex(3),707.248407805
G00062MO,HexNAc(2)Hex(2)NeuAc(1) % 1039.37037354,G77513SG,HexNAc(2)Hex(2)NeuAc(1),1039.37037354
G00063MO,HexNAc(2)Hex(1)NeuAc(2) % 1168.41296668,G12520SZ,HexNAc(2)Hex(1)NeuAc(2),1168.41296668
G00064MO,HexNAc(2)Hex(3) % 910.32778041,G28681TP,HexNAc(2)Hex(3),910.32778041
G00065MO,HexNAc(1)Hex(1)NeuAc(1) % 674.23817744,G17015OC,HexNAc(1)Hex(1)NeuAc(1),674.23817744
G00066MO,HexNAc(1)Hex(1)dHex(1) % 529.200669675,G54129SE,HexNAc(1)Hex(1)dHex(1),529.200669675
G00066WY,HexNAc(2)Hex(3) % 910.32778041,G28681TP,HexNAc(2)Hex(3),910.32778041
G00067MO,Hex(2)dHex(1) % 488.17412057,G89864HJ,Hex(2)dHex(1),488.17412057
G00068MO,Hex(1)dHex(1) % 326.12129707,G08453HV,Hex(1)dHex(1),326.12129707
G00069MO,HexNAc(1)Hex(3) % 707.248407805,G08590QR,HexNAc(1)Hex(3),707.248407805
G00069YC,HexNAc(6)Hex(5)dHex(3) % 2484.92464444,G48053DU,HexNAc(6)Hex(5)dHex(3),2484.92464444
G00070MO,HexNAc(1)Hex(3) % 707.248407805,G08590QR,HexNAc(1)Hex(3),707.248407805
G00071MO,HexNAc(1)Hex(3) % 707.248407805,G08590QR,HexNAc(1)Hex(3),707.248407805
G00072MO,HexNAc(1)Hex(3) % 707.248407805,G08590QR,HexNAc(1)Hex(3),707.248407805
G00073QP,HexNAc(5)Hex(6)dHex(1)NeuGc(2) % 2765.96294012,G77959MZ,HexNAc(5)Hex(6)dHex(1)NeuGc(2),2765.96294012
G00076PK,HexNAc(1)Hex(2) % 545.195584305,G05394UY,HexNAc(1)Hex(2),545.195584305
G00078CA,HexNAc(2)Hex(10) % 2044.69754491,G83460ZZ,HexNAc(2)Hex(10),2044.69754491
G00083FE,HexNAc(5)Hex(6)dHex(3) % 2443.89809534,G41126SR,HexNAc(5)Hex(6)dHex(3),2443.89809534
G00087BY,HexNAc(5)Hex(4)dHex(1)NeuAc(1)Sulpho(1) % 2198.72886182,G88691YO,HexNAc(5)Hex(4)dHex(1)NeuAc(1)Sulpho(1),2198.72886182
G00089VH,HexNAc(3)Hex(5)NeuAc(2) % 2019.70363329,G11157ZG,HexNAc(3)Hex(5)NeuAc(2),2019.70363329
G00091RT,Hex(5) % 828.2746822,G84322TE,Hex(5),828.2746822
G00091UN,HexNAc(3)Hex(4)dHex(1)NeuAc(1) % 1712.61330202,G72791KH,HexNAc(3)Hex(4)dHex(1)NeuAc(1),1712.61330202
G00094SE,HexNAc(4)Hex(2)dHex(1) % 1300.49161099,G60060GI,HexNAc(4)Hex(2)dHex(1),1300.49161099
G00097DN,Hex(1)Pent(1) % 312.105647,G25325JY,Hex(1)Pent(1),312.105647
G00104PH,HexNAc(6)Hex(5)dHex(1)NeuAc(1) % 2483.90424334,G43638QT,HexNAc(6)Hex(5)dHex(1)NeuAc(1),2483.90424334
G00105XF,HexNAc(4)Hex(5)NeuAc(1) % 1931.68758926,G59626AS,HexNAc(4)Hex(5)NeuAc(1),1931.68758926
G00106LE,HexNAc(1)Hex(1)dHex(1)NeuAc(1)Sulpho(1) % 900.2529009,G05761AI,HexNAc(1)Hex(1)dHex(1)NeuAc(1)Sulpho(1),900.2529009
G00113FP,HexNAc(5)Hex(6)dHex(2)NeuAc(1) % 2588.9356031,G03596YS,HexNAc(5)Hex(6)dHex(2)NeuAc(1),2588.9356031
G00118FH,HexNAc(7)Hex(8)dHex(1)NeuAc(5) % 4337.52375298,G33696BZ,HexNAc(7)Hex(8)dHex(1)NeuAc(5),4337.52375298
G00120OY,HexNAc(5)Hex(6)dHex(3) % 2443.89809534,G41126SR,HexNAc(5)Hex(6)dHex(3),2443.89809534
G00120QS,HexNAc(2)Hex(2) % 748.27495691,G53434XO,HexNAc(2)Hex(2),748.27495691
G00122QX,Hex(3) % 504.1690352,G39365VM,Hex(3),504.1690352
G00123JF,Pent(1) % 150.0528235,G47957HH,Pent(1),150.0528235
G00124PC,HexNAc(4)Hex(5)dHex(2)NeuGc(1) % 2239.79832162,G30123TP,HexNAc(4)Hex(5)dHex(2)NeuGc(1),2239.79832162
G00124SJ,HexNAc(8)Hex(9)dHex(5)NeuAc(1) % 4122.50591803,G00124SJ,HexNAc(8)Hex(9)dHex(5)NeuAc(1),4122.50591803
G00125TX,HexNAc(1)Hex(2) % 545.195584305,G05394UY,HexNAc(1)Hex(2),545.195584305
G00131HY,HexNAc(4)Hex(3)Pent(1) % 1448.52878442,G00131HY,HexNAc(4)Hex(3)Pent(1),1448.52878442
G00139WK,HexNAc(2)Hex(2) % 748.27495691,G53434XO,HexNAc(2)Hex(2),748.27495691
G00140XB,Hex(2) % 342.1162117,G90627TW,Hex(2),342.1162117
G00141ZD,Hex(3) % 504.1690352,G39365VM,Hex(3),504.1690352
G00142DY,HexNAc(1)Hex(13) % 2327.7766428,G17818RC,HexNAc(1)Hex(13),2327.7766428
G00148WK,HexNAc(1)Hex(1) % 383.142760805,G43417UB,HexNAc(1)Hex(1),383.142760805
G00152IK,HexNAc(3)Hex(3)dHex(2) % 1405.52297075,G28997IA,HexNAc(3)Hex(3)dHex(2),1405.52297075
G00152LK,Hex(6) % 990.3275057,G32030CB,Hex(6),990.3275057
G00152SF,HexNAc(3)Hex(4)NeuAc(1) % 1566.55539315,G95865ZB,HexNAc(3)Hex(4)NeuAc(1),1566.55539315
G00152UP,HexNAc(4)Hex(7)NeuAc(1) % 2255.79323626,G31986NC,HexNAc(4)Hex(7)NeuAc(1),2255.79323626
G00153LJ,Hex(3) % 504.1690352,G39365VM,Hex(3),504.1690352
G00155YT,HexNAc(5)Hex(6)dHex(1)NeuAc(1) % 2442.87769423,G86752LQ,HexNAc(5)Hex(6)dHex(1)NeuAc(1),2442.87769423
G00157HJ,HexNAc(1)Hex(10) % 1841.61817231,G04681UD,HexNAc(1)Hex(10),1841.61817231
G00157WT,HexNAc(3)Hex(5)dHex(2)NeuAc(1) % 2020.72403439,G35235RT,HexNAc(3)Hex(5)dHex(2)NeuAc(1),2020.72403439
G00159IZ,HexNAc(8)Hex(7)NeuAc(1) % 3068.11072668,G44050CO,HexNAc(8)Hex(7)NeuAc(1),3068.11072668
G00164QP,HexNAc(4)Hex(3)dHex(2) % 1608.60234336,G61855PQ,HexNAc(4)Hex(3)dHex(2),1608.60234336
G00167VE,HexNAc(6)Hex(5)dHex(1) % 2192.8088267,G69364JQ,HexNAc(6)Hex(5)dHex(1),2192.8088267
G00175DU,HexNAc(6)Hex(3)dHex(1) % 1868.7031797,G55382TU,HexNAc(6)Hex(3)dHex(1),1868.7031797
G00175GT,HexNAc(2)Hex(2) % 748.27495691,G53434XO,HexNAc(2)Hex(2),748.27495691
G00176HZ,HexNAc(6)Hex(3)dHex(1) % 1868.7031797,G55382TU,HexNAc(6)Hex(3)dHex(1),1868.7031797
G00185NL,HexNAc(4)Hex(5)dHex(2) % 1932.70799036,G60923RB,HexNAc(4)Hex(5)dHex(2),1932.70799036
G00186OS,HexNAc(4)Hex(6)dHex(1) % 1948.70290499,G09197ZW,HexNAc(4)Hex(6)dHex(1),1948.70290499
G00188VT,HexNAc(3)Hex(2)dHex(2)Sulpho(1) % 1323.42696185,G95304CZ,HexNAc(3)Hex(2)dHex(2)Sulpho(1),1323.42696185
G00194GV,HexNAc(1)dHex(1) % 367.147846175,G00194GV,HexNAc(1)dHex(1),367.147846175
G00196CO,HexNAc(5)Hex(4)dHex(2) % 1973.73453947,G19379ID,HexNAc(5)Hex(4)dHex(2),1973.73453947
G00199AH,HexNAc(2)Hex(3)dHex(2) % 1202.44359815,G21726WW,HexNAc(2)Hex(3)dHex(2),1202.44359815
G00199JR,HexNAc(1)Hex(4) % 869.301231305,G15666IG,HexNAc(1)Hex(4),869.301231305
G00199PM,HexNAc(4)Hex(3)dHex(2) % 1608.60234336,G61855PQ,HexNAc(4)Hex(3)dHex(2),1608.60234336
G00201AB,HexNAc(6)Hex(4)NeuAc(1) % 2175.79351097,G23505EP,HexNAc(6)Hex(4)NeuAc(1),2175.79351097
G00203KS,HexNAc(1)Hex(4) % 869.301231305,G15666IG,HexNAc(1)Hex(4),869.301231305
G00204EX,HexNAc(3)Hex(5) % 1437.51280002,G39446WN,HexNAc(3)Hex(5),1437.51280002
G00207YQ,HexNAc(4)Hex(6) % 1802.64499612,G02886BB,HexNAc(4)Hex(6),1802.64499612
G00208WQ,HexNAc(3)Hex(3)dHex(2) % 1405.52297075,G28997IA,HexNAc(3)Hex(3)dHex(2),1405.52297075
G00209ZX,HexNAc(1)Hex(3)NeuGc(1) % 1014.33873907,G76080EE,HexNAc(1)Hex(3)NeuGc(1),1014.33873907
G00210FR,HexNAc(3)Hex(1)dHex(1)NeuAc(1) % 1226.45483152,G16993HQ,HexNAc(3)Hex(1)dHex(1)NeuAc(1),1226.45483152
G00210ZX,HexNAc(6)Hex(6)dHex(1)NeuAc(1) % 2645.95706684,G54417MJ,HexNAc(6)Hex(6)dHex(1)NeuAc(1),2645.95706684
G00211WY,HexNAc(4)Hex(6)dHex(1)NeuAc(1) % 2239.79832162,G15038BD,HexNAc(4)Hex(6)dHex(1)NeuAc(1),2239.79832162
G00212RH,HexNAc(5)Hex(9)dHex(1) % 2637.94074809,G16462LS,HexNAc(5)Hex(9)dHex(1),2637.94074809
G00212ZT,HexNAc(1)Hex(7) % 1355.45970181,G85945LZ,HexNAc(1)Hex(7),1355.45970181
G00217CL,HexNAc(5)Hex(6)NeuGc(1) % 2312.81469999,G80160PH,HexNAc(5)Hex(6)NeuGc(1),2312.81469999
G00219DO,HexNAc(5)Hex(4)dHex(1) % 1827.6766306,G68318VE,HexNAc(5)Hex(4)dHex(1),1827.6766306
G00219VH,HexNAc(2) % 424.16930991,G27391WQ,HexNAc(2),424.16930991
G00221CZ,HexNAc(6)Hex(6) % 2208.80374133,G49906RN,HexNAc(6)Hex(6),2208.80374133
G00222MO,HexNAc(5)Hex(3)dHex(2) % 1811.68171597,G40792UP,HexNAc(5)Hex(3)dHex(2),1811.68171597
G00225DC,Hex(3) % 504.1690352,G39365VM,Hex(3),504.1690352
G00227RN,HexNAc(5)Hex(6)dHex(1)NeuAc(3) % 3025.0685275,G94917XT,HexNAc(5)Hex(6)dHex(1)NeuAc(3),3025.0685275
G00227ZY,Hex(3) % 504.1690352,G39365VM,Hex(3),504.1690352
G00229QC,HexNAc(1)Hex(10) % 1841.61817231,G04681UD,HexNAc(1)Hex(10),1841.61817231
G00230CO,HexNAc(6)Hex(3)dHex(1)Sulpho(2) % 2028.61680888,G71640LP,HexNAc(6)Hex(3)dHex(1)Sulpho(2),2028.61680888
G00231IQ,HexNAc(5)Hex(5)dHex(1)NeuAc(1) % 2280.82487073,G12580WI,HexNAc(5)Hex(5)dHex(1)NeuAc(1),2280.82487073
G00231WL,HexNAc(6)Hex(7)dHex(1)NeuAc(3)Sulpho(1) % 3470.1575382,G95480OU,HexNAc(6)Hex(7)dHex(1)NeuAc(3)Sulpho(1),3470.1575382
G00232UX,HexNAc(6)Hex(6)dHex(1)NeuAc(4) % 3519.24331674,G20606AK,HexNAc(6)Hex(6)dHex(1)NeuAc(4),3519.24331674
G00234GG,HexNAc(3)Hex(1)Sulpho(1) % 869.258320605,G53657ER,HexNAc(3)Hex(1)Sulpho(1),869.258320605
G00234MX,HexNAc(1)Hex(1)NeuAc(1)Sulpho(1) % 754.19499203,G71502QP,HexNAc(1)Hex(1)NeuAc(1)Sulpho(1),754.19499203
G00235HI,HexNAc(5)Hex(6)NeuAc(1) % 2296.81978536,G40926MX,HexNAc(5)Hex(6)NeuAc(1),2296.81978536
G00238CK,HexNAc(2)Hex(1)Sulpho(1) % 666.178948,G32406CO,HexNAc(2)Hex(1)Sulpho(1),666.178948
G00238FA,Hex(2) % 342.1162117,G90627TW,Hex(2),342.1162117
G00241VQ,HexNAc(3)Hex(2)NeuAc(2) % 1533.54516279,G99196VL,HexNAc(3)Hex(2)NeuAc(2),1533.54516279
G00247JV,HexNAc(2)Hex(9) % 1882.64472141,G80920RR,HexNAc(2)Hex(9),1882.64472141
G00247PL,HexNAc(4)Hex(5)dHex(1) % 1786.65008149,G83555HU,HexNAc(4)Hex(5)dHex(1),1786.65008149
G00248DH,HexNAc(7)Hex(8)dHex(1)NeuAc(1) % 3173.14208644,G82348RD,HexNAc(7)Hex(8)dHex(1)NeuAc(1),3173.14208644
G00249IY,HexNAc(4)Hex(5)dHex(2) % 1932.70799036,G60923RB,HexNAc(4)Hex(5)dHex(2),1932.70799036
G00249XF,HexNAc(3)Hex(2)Sulpho(1) % 1031.31114411,G22172OT,HexNAc(3)Hex(2)Sulpho(1),1031.31114411
G00249XR,HexNAc(5)Hex(5)dHex(2) % 2135.78736296,G29651HS,HexNAc(5)Hex(5)dHex(2),2135.78736296
G00250DZ,HexNAc(6)Hex(6)dHex(1)NeuAc(2) % 2937.05248347,G98596OT,HexNAc(6)Hex(6)dHex(1)NeuAc(2),2937.05248347
G00252UK,Hex(3) % 504.1690352,G39365VM,Hex(3),504.1690352
G00254JB,HexNAc(4)Hex(6)dHex(1) % 1948.70290499,G09197ZW,HexNAc(4)Hex(6)dHex(1),1948.70290499
G00272VU,HexNAc(3)Hex(3)dHex(2) % 1405.52297075,G28997IA,HexNAc(3)Hex(3)dHex(2),1405.52297075
G00273SJ,HexNAc(4)Hex(5)dHex(4) % 2224.8238081,G05933EN,HexNAc(4)Hex(5)dHex(4),2224.8238081
G00274WK,HexNAc(2)Hex(5) % 1234.43342741,G02815KT,HexNAc(2)Hex(5),1234.43342741
G00277SO,HexNAc(3)Hex(2)dHex(2) % 1243.47014726,G61099GA,HexNAc(3)Hex(2)dHex(2),1243.47014726
G00279YF,HexNAc(6)Hex(3) % 1722.64527083,G83633GK,HexNAc(6)Hex(3),1722.64527083
G00281HB,HexNAc(3)Hex(6) % 1599.56562352,G28541PG,HexNAc(3)Hex(6),1599.56562352
G00282XO,HexNAc(1)Hex(3)NeuAc(4) % 1871.63007435,G73885NP,HexNAc(1)Hex(3)NeuAc(4),1871.63007435
G00284SJ,HexNAc(2)Hex(5) % 1234.43342741,G02815KT,HexNAc(2)Hex(5),1234.43342741
G00288QM,HexNAc(2)Hex(4) % 1072.38060391,G92050GC,HexNAc(2)Hex(4),1072.38060391
G00288RP,HexNAc(2)Hex(3)dHex(2) % 1202.44359815,G21726WW,HexNAc(2)Hex(3)dHex(2),1202.44359815
G00294TN,HexNAc(1)Hex(2)dHex(1) % 691.253493175,G11235SR,HexNAc(1)Hex(2)dHex(1),691.253493175
G00298HY,HexNAc(2)Hex(1) % 586.22213341,G58001LT,HexNAc(2)Hex(1),586.22213341
G00298LF,HexNAc(3)Hex(5)dHex(3) % 1875.68652662,G06231AO,HexNAc(3)Hex(5)dHex(3),1875.68652662
G00301DC,HexNAc(3)Hex(5)dHex(1)NeuAc(1) % 1874.66612552,G67324HN,HexNAc(3)Hex(5)dHex(1)NeuAc(1),1874.66612552
G00305KL,HexNAc(2)Hex(4) % 1072.38060391,G92050GC,HexNAc(2)Hex(4),1072.38060391
G00305KO,Hex(1)Pent(2) % 444.1479058,G42518JM,Hex(1)Pent(2),444.1479058
G00306VT,Hex(2)dHex(1) % 488.17412057,G89864HJ,Hex(2)dHex(1),488.17412057
G00311MF,HexNAc(1)Hex(2) % 545.195584305,G05394UY,HexNAc(1)Hex(2),545.195584305
G00314IZ,HexNAc(4)Hex(3)Pent(1) % 1448.52878442,G00131HY,HexNAc(4)Hex(3)Pent(1),1448.52878442
G00315CH,HexNAc(3)Hex(6)dHex(1)NeuAc(2) % 2327.81436566,G55444WK,HexNAc(3)Hex(6)dHex(1)NeuAc(2),2327.81436566
G00318AV,HexNAc(4)Hex(5)dHex(1)NeuAc(2) % 2368.84091476,G88374WZ,HexNAc(4)Hex(5)dHex(1)NeuAc(2),2368.84091476
G00318OS,HexNAc(3)Hex(1)Sulpho(1) % 869.258320605,G53657ER,HexNAc(3)Hex(1)Sulpho(1),869.258320605
G00318UE,HexNAc(1)Hex(11) % 2003.67099581,G29807WF,HexNAc(1)Hex(11),2003.67099581
G00320ZP,HexNAc(4)Hex(5)NeuAc(3) % 2513.87842253,G67031OU,HexNAc(4)Hex(5)NeuAc(3),2513.87842253
G00321UH,HexNAc(3)Hex(2)NeuAc(1) % 1242.44974615,G61337RI,HexNAc(3)Hex(2)NeuAc(1),1242.44974615
G00328AZ,HexNAc(5)Hex(7) % 2167.77719222,G14368ET,HexNAc(5)Hex(7),2167.77719222
G00328CG,HexNAc(4)Hex(5)NeuAc(3) % 2513.87842253,G67031OU,HexNAc(4)Hex(5)NeuAc(3),2513.87842253
G00328HB,HexNAc(2)Hex(5) % 1234.43342741,G02815KT,HexNAc(2)Hex(5),1234.43342741
G00330YN,Hex(2) % 342.1162117,G90627TW,Hex(2),342.1162117
G00333ZL,Hex(3) % 504.1690352,G39365VM,Hex(3),504.1690352
G00335DM,HexNAc(2)Hex(6) % 1396.48625091,G41247ZX,HexNAc(2)Hex(6),1396.48625091
G00335JE,HexNAc(2)Hex(2)NeuGc(1) % 1055.36528817,G06048QL,HexNAc(2)Hex(2)NeuGc(1),1055.36528817
G00335TI,HexNAc(3)Hex(3) % 1113.40715301,G57317CE,HexNAc(3)Hex(3),1113.40715301
G00336XG,HexNAc(3)Hex(5) % 1437.51280002,G39446WN,HexNAc(3)Hex(5),1437.51280002
G00337GM,HexNAc(8)Hex(10)dHex(1) % 3409.23168941,G00337GM,HexNAc(8)Hex(10)dHex(1),3409.23168941
G00340NM,HexNAc(3)Hex(5)NeuAc(1) % 1728.60821665,G37399XV,HexNAc(3)Hex(5)NeuAc(1),1728.60821665
G00349CA,HexNAc(5)Hex(6) % 2005.72436872,G60033FS,HexNAc(5)Hex(6),2005.72436872
G00351AQ,HexNAc(5)Hex(6)dHex(2)NeuAc(2) % 2880.03101973,G84320LV,HexNAc(5)Hex(6)dHex(2)NeuAc(2),2880.03101973
G00356FQ,HexNAc(1)Hex(2) % 545.195584305,G05394UY,HexNAc(1)Hex(2),545.195584305
G00357HK,HexNAc(6)Hex(5)dHex(2) % 2338.86673557,G61613II,HexNAc(6)Hex(5)dHex(2),2338.86673557
G00361LC,HexNAc(5)Hex(6)dHex(4) % 2589.95600421,G26271XI,HexNAc(5)Hex(6)dHex(4),2589.95600421
G00361YF,HexNAc(6)Hex(3) % 1722.64527083,G83633GK,HexNAc(6)Hex(3),1722.64527083
G00362UY,HexNAc(1)dHex(1) % 367.147846175,G00194GV,HexNAc(1)dHex(1),367.147846175
G00368HM,HexNAc(5)Hex(6)dHex(1)NeuGc(1) % 2458.87260886,G90851QG,HexNAc(5)Hex(6)dHex(1)NeuGc(1),2458.87260886
G00369RM,HexNAc(7)Hex(6)dHex(2) % 2703.99893167,G09084RP,HexNAc(7)Hex(6)dHex(2),2703.99893167
G00370EI,HexNAc(1)Hex(4)NeuAc(1) % 1160.39664794,G11239ZB,HexNAc(1)Hex(4)NeuAc(1),1160.39664794
G00371DJ,HexNAc(2)Hex(1)dHex(1) % 732.28004228,G94583DZ,HexNAc(2)Hex(1)dHex(1),732.28004228
G00372ZO,HexNAc(3)Hex(1) % 789.301506015,G88713AC,HexNAc(3)Hex(1),789.301506015
G00379PJ,HexNAc(2)Hex(2)NeuAc(1) % 1039.37037354,G77513SG,HexNAc(2)Hex(2)NeuAc(1),1039.37037354
G00381SH,HexNAc(5)Hex(4) % 1681.61872173,G72790NZ,HexNAc(5)Hex(4),1681.61872173
G00383NC,HexNAc(2)Hex(1)NeuAc(1) % 877.317550045,G48586RX,HexNAc(2)Hex(1)NeuAc(1),877.317550045
G00383YF,HexNAc(6)Hex(5) % 2046.75091783,G43769HG,HexNAc(6)Hex(5),2046.75091783
G00390EC,HexNAc(4)Hex(4)NeuGc(1) % 1785.62968039,G92821TF,HexNAc(4)Hex(4)NeuGc(1),1785.62968039
G00394CR,HexNAc(2)Hex(4)dHex(2) % 1364.49642165,G38769OU,HexNAc(2)Hex(4)dHex(2),1364.49642165
G00394QB,Hex(2) % 342.1162117,G90627TW,Hex(2),342.1162117
G00395FS,Hex(3) % 504.1690352,G39365VM,Hex(3),504.1690352
G00395TQ,HexNAc(2)Hex(2)dHex(1) % 894.33286578,G93579XB,HexNAc(2)Hex(2)dHex(1),894.33286578
G00396DP,HexNAc(2)Hex(4)dHex(1) % 1218.43851278,G82364UA,HexNAc(2)Hex(4)dHex(1),1218.43851278
